table,type,detail,notes
"unit_of_measure","modified","Column ""category"": type: varchar(30) -> uuid","As a general question, it seems like a pain to, everytime we want to look up a unit of measure that we do it by ID instead of by abbreviaiton in this case. Should we create a UTIL domain for stuff like this?"
"role","modified","Column ""name"": type: varchar(30) -> uuid","What is this? It doesn't link to any other table"
"org","added","Table added","I think as a general rule, if we're going to ref an ID field in other tables then it should tablename_ID, so this table should be called org"
"organization","removed","Table removed",""
"profile","note","Has notes","What is this for? What is table auth in FK?"
"org_member","note","Has notes","what is joined at field? Is it a CRUD field? I'd like user_id to match profile.id and this user might be better"
"supplier","note","Has notes","I think this can live under Inventory domain. What is the metadata column for?"
"delivery_method","note","Has notes","what is this? If FOB, then I prefer sticking with what are currntly using. Can we use the desc field in the schema and include 2-3 examples if needed for clarity"
"customer_group","note","Has notes","I think this migh tgo under sales, right?"
"customer","note","Has notes","what is external ID and we might need two emails, right?"
"farm","note","Has notes","we have a lot of is_active? Not really used for something farm, right?"
"farm_site","note","Has notes","can we define types in the schema?"
"farm_variety","note","Has notes","I think this belongs under grow or sales. I think we want a desc of the variety here as well"
"farm_grade","note","Has notes","I think we want a description of the grades"
"farm_product","note","Has notes","1. Domain = sales, 2. What is a product_item_ID? Isn't this what this table defines? 3. What is sale_unit? I think we can call this cases? 4. Is pack_unit ever diff from sale_unit? 5. You have a weight_unit, but is this for product, pack or sale? All of the FKs for unit of measure point to fields that are ID fields. I don't understand this."
"farm_product_price","note","Has notes","minor, but can we put cust group above cust. in other cases, I think the fields could be organized more logically. why do we need cust_group here? We shold be clear what is the unit for the price"
"inventory_category","note","Has notes","is parent the same as category? what is level?"
"inventory_item","note","Has notes","1. I think we should use vendor not supplier across the board.  2. Are burn per order and burn per onhand units or quantities? 3. what is external ID? 4. Should type be FKs? 5. what is diff between type and category?"
"inventory_order","note","Has notes","1. Item ID and FK need to match? Interesting that you kept item_name here when we can infer it from item_ID, but honestly, I think we'd simplify all of our queires and make everything himan readable if the FK was item_name not item_ID. 2. we have burn info at the item level, I don't think we need it at the order / onhand tables as well otherwise we can get conflicts ans confusion"
"inventory_order_receipt","note","Has notes","FK column name should be inv_order_id.  2. I dnpt think we're gong to enter received_burn_rate. Are burn_rates diff for partially received orders? 3. is received_at diff from received_date? 4. instead of recieved_unit, can't we use the under from the order?"
"inventory_transaction","note","Has notes","what is this table doing?"
"farm_product_inventory_item","note","Has notes","If this is decomposing what goes into an item that we sell, then pease exlcude and only focus on delveiring what existing Aloha"
